mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,var_names
-0.83,1.065,-2.898,1.187,0.026,0.026,1768.0,1347.0,1.0,beta_cortisol
-1.649,1.577,-4.638,1.432,0.038,0.034,1756.0,1508.0,1.0,beta_siga_morning
-2.28,1.397,-4.961,0.344,0.035,0.03,1606.0,1308.0,1.0,beta_siga_afternoon
0.628,1.516,-2.25,3.593,0.037,0.03,1659.0,1530.0,1.0,beta_siga_diff
